ELDER
ID	 Degree(i)	 Centrality(i)	 Efficiency(Network-i)	
1	3	0.0230	0.1118
2	3	0.0456	0.1092
3	5	0.0580	0.1078
4	4	0.0588	0.1077
5	3	0.0276	0.1112
6	5	0.0665	0.1068
7	6	0.0709	0.1063
8	6	0.3132	0.0786
9	4	0.0316	0.1108
10	4	0.0645	0.1070
11	4	0.0502	0.1087
12	4	0.0785	0.1054
13	4	0.0502	0.1087
14	6	0.1115	0.1016
15	4	0.0327	0.1107
16	6	0.1110	0.1017
17	7	0.1524	0.0970
18	3	0.0252	0.1115
19	3	0.0252	0.1115
20	3	0.0252	0.1115
21	4	0.0498	0.1087
22	5	0.0730	0.1060
23	5	0.0580	0.1078
24	10	0.2932	0.0809
25	6	0.0567	0.1079
26	5	0.0651	0.1070
27	5	0.0512	0.1085
28	8	0.0833	0.1049
29	3	0.0506	0.1086
30	3	0.0252	0.1115
31	4	0.0543	0.1082
32	5	0.1007	0.1029
33	2	0.0230	0.1118
34	4	0.2877	0.0815
35	3	0.0252	0.1115
36	3	0.0252	0.1115
37	3	0.0252	0.1115
38	4	0.0316	0.1108
39	2	0.0230	0.1118
40	3	0.0276	0.1112
41	3	0.0252	0.1115
42	4	0.0327	0.1107
43	6	0.0548	0.1081
44	10	0.0615	0.1074
45	8	0.0551	0.1081
46	8	0.0551	0.1081
47	9	0.0755	0.1058
48	6	0.0575	0.1078
49	8	0.0551	0.1081
50	6	0.0497	0.1087
51	10	0.0610	0.1074
52	9	0.0582	0.1077
53	6	0.0576	0.1078
54	4	0.0504	0.1086
55	4	0.0513	0.1085
56	5	0.2327	0.0878
57	4	0.0495	0.1087
58	5	0.0917	0.1039
59	5	0.1053	0.1023
60	6	0.1886	0.0928
61	3	0.0495	0.1087
62	6	0.3462	0.0748
63	2	0.0230	0.1118
64	4	0.2829	0.0820
65	3	0.0456	0.1092
66	3	0.0512	0.1085
67	4	0.0704	0.1063
68	3	0.0451	0.1092
69	4	0.0704	0.1063
70	3	0.0451	0.1092
71	2	0.0230	0.1118
72	3	0.0458	0.1092
73	2	0.0230	0.1118
74	4	0.0316	0.1108
75	2	0.0230	0.1118
76	3	0.0276	0.1112
77	2	0.0230	0.1118
78	2	0.0230	0.1118
79	5	0.0527	0.1084
80	2	0.0230	0.1118
81	5	0.0527	0.1084
82	5	0.0527	0.1084
83	4	0.0316	0.1108
84	4	0.0696	0.1064
85	2	0.0230	0.1118
86	4	0.0571	0.1079
87	3	0.0276	0.1112
88	3	0.0447	0.1093
89	2	0.0230	0.1118
90	4	0.0588	0.1077
