YOUNG
ID	 Degree(i)	 Centrality(i)	 Efficiency(Network-i)	
1	8	0.0230	0.3594
2	7	0.0460	0.3509
3	5	0.0418	0.3525
4	5	0.0433	0.3519
5	10	0.0480	0.3502
6	8	0.0439	0.3517
7	6	0.0445	0.3515
8	9	0.0487	0.3499
9	7	0.0441	0.3516
10	9	0.0474	0.3504
11	12	0.0486	0.3500
12	12	0.0486	0.3500
13	13	0.0522	0.3486
14	17	0.0524	0.3486
15	12	0.0525	0.3485
16	12	0.0491	0.3498
17	12	0.0486	0.3500
18	12	0.0505	0.3493
19	11	0.0499	0.3495
20	15	0.0569	0.3469
21	8	0.0444	0.3515
22	7	0.0421	0.3523
23	11	0.0586	0.3463
24	5	0.0422	0.3523
25	6	0.0439	0.3517
26	11	0.0493	0.3497
27	12	0.0496	0.3496
28	11	0.0465	0.3507
29	12	0.0511	0.3491
30	14	0.0523	0.3486
31	16	0.0646	0.3441
32	14	0.0545	0.3478
33	10	0.0497	0.3496
34	12	0.0507	0.3492
35	3	0.0237	0.3591
36	3	0.0237	0.3591
37	5	0.0389	0.3535
38	4	0.0385	0.3537
39	4	0.0363	0.3545
40	6	0.0403	0.3530
41	5	0.0448	0.3514
42	6	0.0518	0.3488
43	14	0.0510	0.3491
44	11	0.0484	0.3501
45	14	0.0517	0.3488
46	18	0.0575	0.3467
47	15	0.0511	0.3490
48	16	0.0525	0.3485
49	17	0.0533	0.3482
50	16	0.0587	0.3463
51	13	0.0507	0.3492
52	13	0.0503	0.3493
53	8	0.0457	0.3511
54	8	0.0472	0.3505
55	7	0.0451	0.3513
56	9	0.0488	0.3499
57	6	0.0422	0.3523
58	7	0.0461	0.3509
59	6	0.0440	0.3517
60	5	0.0429	0.3521
61	9	0.0504	0.3493
62	9	0.0480	0.3502
63	10	0.0491	0.3498
64	10	0.0496	0.3496
65	9	0.0503	0.3493
66	6	0.0438	0.3517
67	6	0.0446	0.3514
68	9	0.0551	0.3476
69	5	0.0404	0.3530
70	5	0.0428	0.3521
71	7	0.0540	0.3480
72	3	0.0361	0.3546
73	12	0.0590	0.3462
74	15	0.0695	0.3423
75	6	0.0510	0.3491
76	6	0.0446	0.3514
77	5	0.0440	0.3517
78	6	0.0416	0.3525
79	11	0.0475	0.3504
80	10	0.0470	0.3506
81	10	0.0468	0.3506
82	9	0.0456	0.3511
83	5	0.0467	0.3507
84	8	0.0488	0.3499
85	4	0.0384	0.3537
86	3	0.0365	0.3544
87	7	0.0484	0.3500
88	6	0.0437	0.3518
89	2	0.0230	0.3594
90	5	0.0537	0.3481
