ELDER	RANDOM
ID	 Degree(i)	 Efficiency_Original	 Efficiency_Perturbed	 Centrality_LesionedNodes	
1	3	0.1144	0.1118	0.0230
2	3	0.1144	0.1118	0.0228
3	5	0.1144	0.1103	0.0356
4	4	0.1144	0.1102	0.0364
5	3	0.1144	0.1139	0.0045
6	5	0.1144	0.1094	0.0438
7	6	0.1144	0.1088	0.0487
8	6	0.1144	0.0804	0.2974
9	4	0.1144	0.1134	0.0085
10	4	0.1144	0.1096	0.0417
11	4	0.1144	0.1113	0.0275
12	4	0.1144	0.1080	0.0561
13	4	0.1144	0.1113	0.0275
14	6	0.1144	0.1042	0.0895
15	4	0.1144	0.1133	0.0096
16	6	0.1144	0.1042	0.0888
17	7	0.1144	0.0993	0.1317
18	3	0.1144	0.1141	0.0022
19	3	0.1144	0.1141	0.0022
20	3	0.1144	0.1141	0.0022
21	4	0.1144	0.1113	0.0270
22	5	0.1144	0.1086	0.0506
23	5	0.1144	0.1103	0.0356
24	10	0.1144	0.0813	0.2892
25	6	0.1144	0.1105	0.0340
26	5	0.1144	0.1095	0.0427
27	5	0.1144	0.1111	0.0285
28	8	0.1144	0.1074	0.0610
29	3	0.1144	0.1112	0.0280
30	3	0.1144	0.1141	0.0022
31	4	0.1144	0.1108	0.0317
32	5	0.1144	0.1053	0.0795
33	2	0.1144	0.1144	0.0000
34	4	0.1144	0.0834	0.2710
35	3	0.1144	0.1141	0.0022
36	3	0.1144	0.1141	0.0022
37	3	0.1144	0.1141	0.0022
38	4	0.1144	0.1134	0.0085
39	2	0.1144	0.1144	0.0000
40	3	0.1144	0.1139	0.0045
41	3	0.1144	0.1141	0.0022
42	4	0.1144	0.1133	0.0096
43	6	0.1144	0.1107	0.0320
44	10	0.1144	0.1100	0.0387
45	8	0.1144	0.1107	0.0323
46	8	0.1144	0.1107	0.0323
47	9	0.1144	0.1084	0.0528
48	6	0.1144	0.1104	0.0348
49	8	0.1144	0.1107	0.0323
50	6	0.1144	0.1113	0.0269
51	10	0.1144	0.1100	0.0382
52	9	0.1144	0.1103	0.0354
53	6	0.1144	0.1104	0.0349
54	4	0.1144	0.1112	0.0276
55	4	0.1144	0.1111	0.0285
56	5	0.1144	0.0901	0.2127
57	4	0.1144	0.1087	0.0495
58	5	0.1144	0.1065	0.0694
59	5	0.1144	0.1026	0.1032
60	6	0.1144	0.0952	0.1674
61	3	0.1144	0.1113	0.0272
62	6	0.1144	0.0768	0.3287
63	2	0.1144	0.1144	0.0000
64	4	0.1144	0.0840	0.2657
65	3	0.1144	0.1118	0.0228
66	3	0.1144	0.1111	0.0285
67	4	0.1144	0.1089	0.0478
68	3	0.1144	0.1118	0.0223
69	4	0.1144	0.1089	0.0478
70	3	0.1144	0.1118	0.0223
71	2	0.1144	0.1144	0.0000
72	3	0.1144	0.1118	0.0230
73	2	0.1144	0.1144	0.0000
74	4	0.1144	0.1134	0.0085
75	2	0.1144	0.1144	0.0000
76	3	0.1144	0.1139	0.0045
77	2	0.1144	0.1144	0.0000
78	2	0.1144	0.1144	0.0000
79	5	0.1144	0.1109	0.0302
80	2	0.1144	0.1144	0.0000
81	5	0.1144	0.1109	0.0302
82	5	0.1144	0.1109	0.0302
83	4	0.1144	0.1134	0.0085
84	4	0.1144	0.1090	0.0470
85	2	0.1144	0.1144	0.0000
86	4	0.1144	0.1105	0.0344
87	3	0.1144	0.1139	0.0045
88	3	0.1144	0.1119	0.0220
89	2	0.1144	0.1144	0.0000
90	4	0.1144	0.1102	0.0363
