ELDER	TARGETED	REMOVED Target: 1 3 5 7 9 11 13 15 17 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 
ID	 Degree(i)	 Efficiency_Original	 Efficiency_Perturbed	 Centrality_LesionedNodes	
1	3	0.1144	0.0333	0.7089
2	3	0.1144	0.1144	0.0000
3	5	0.1144	0.0333	0.7089
4	4	0.1144	0.1144	0.0000
5	3	0.1144	0.0333	0.7089
6	5	0.1144	0.1144	0.0000
7	6	0.1144	0.0333	0.7089
8	6	0.1144	0.1144	0.0000
9	4	0.1144	0.0333	0.7089
10	4	0.1144	0.1144	0.0000
11	4	0.1144	0.0333	0.7089
12	4	0.1144	0.1144	0.0000
13	4	0.1144	0.0333	0.7089
14	6	0.1144	0.1144	0.0000
15	4	0.1144	0.0333	0.7089
16	6	0.1144	0.1144	0.0000
17	7	0.1144	0.0333	0.7089
18	3	0.1144	0.1144	0.0000
19	3	0.1144	0.1144	0.0000
20	3	0.1144	0.1144	0.0000
21	4	0.1144	0.0333	0.7089
22	5	0.1144	0.1144	0.0000
23	5	0.1144	0.0333	0.7089
24	10	0.1144	0.1144	0.0000
25	6	0.1144	0.0333	0.7089
26	5	0.1144	0.1144	0.0000
27	5	0.1144	0.0333	0.7089
28	8	0.1144	0.1144	0.0000
29	3	0.1144	0.0333	0.7089
30	3	0.1144	0.1144	0.0000
31	4	0.1144	0.0333	0.7089
32	5	0.1144	0.1144	0.0000
33	2	0.1144	0.0333	0.7089
34	4	0.1144	0.1144	0.0000
35	3	0.1144	0.0333	0.7089
36	3	0.1144	0.1144	0.0000
37	3	0.1144	0.0333	0.7089
38	4	0.1144	0.1144	0.0000
39	2	0.1144	0.0333	0.7089
40	3	0.1144	0.1144	0.0000
41	3	0.1144	0.0333	0.7089
42	4	0.1144	0.1144	0.0000
43	6	0.1144	0.0333	0.7089
44	10	0.1144	0.1144	0.0000
45	8	0.1144	0.0333	0.7089
46	8	0.1144	0.1144	0.0000
47	9	0.1144	0.0333	0.7089
48	6	0.1144	0.1144	0.0000
49	8	0.1144	0.0333	0.7089
50	6	0.1144	0.1144	0.0000
51	10	0.1144	0.0333	0.7089
52	9	0.1144	0.1144	0.0000
53	6	0.1144	0.0333	0.7089
54	4	0.1144	0.1144	0.0000
55	4	0.1144	0.0333	0.7089
56	5	0.1144	0.1144	0.0000
57	4	0.1144	0.0333	0.7089
58	5	0.1144	0.1144	0.0000
59	5	0.1144	0.0333	0.7089
60	6	0.1144	0.1144	0.0000
61	3	0.1144	0.0333	0.7089
62	6	0.1144	0.1144	0.0000
63	2	0.1144	0.0333	0.7089
64	4	0.1144	0.1144	0.0000
65	3	0.1144	0.0333	0.7089
66	3	0.1144	0.1144	0.0000
67	4	0.1144	0.0333	0.7089
68	3	0.1144	0.1144	0.0000
69	4	0.1144	0.0333	0.7089
70	3	0.1144	0.1144	0.0000
71	2	0.1144	0.0333	0.7089
72	3	0.1144	0.1144	0.0000
73	2	0.1144	0.0333	0.7089
74	4	0.1144	0.1144	0.0000
75	2	0.1144	0.0333	0.7089
76	3	0.1144	0.1144	0.0000
77	2	0.1144	0.0333	0.7089
78	2	0.1144	0.1144	0.0000
79	5	0.1144	0.0333	0.7089
80	2	0.1144	0.1144	0.0000
81	5	0.1144	0.0333	0.7089
82	5	0.1144	0.1144	0.0000
83	4	0.1144	0.0333	0.7089
84	4	0.1144	0.1144	0.0000
85	2	0.1144	0.0333	0.7089
86	4	0.1144	0.1144	0.0000
87	3	0.1144	0.0333	0.7089
88	3	0.1144	0.1144	0.0000
89	2	0.1144	0.0333	0.7089
90	4	0.1144	0.1144	0.0000
