ELDER	TARGETED	REMOVED Target: 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80 82 84 86 88 90 
ID	 Degree(i)	 Efficiency_Original	 Efficiency_Perturbed	 Centrality_LesionedNodes	
1	3	0.1144	0.1144	0.0000
2	3	0.1144	0.0100	0.9121
3	5	0.1144	0.1144	0.0000
4	4	0.1144	0.0100	0.9121
5	3	0.1144	0.1144	0.0000
6	5	0.1144	0.0100	0.9121
7	6	0.1144	0.1144	0.0000
8	6	0.1144	0.0100	0.9121
9	4	0.1144	0.1144	0.0000
10	4	0.1144	0.0100	0.9121
11	4	0.1144	0.1144	0.0000
12	4	0.1144	0.0100	0.9121
13	4	0.1144	0.1144	0.0000
14	6	0.1144	0.0100	0.9121
15	4	0.1144	0.1144	0.0000
16	6	0.1144	0.0100	0.9121
17	7	0.1144	0.1144	0.0000
18	3	0.1144	0.0100	0.9121
19	3	0.1144	0.1144	0.0000
20	3	0.1144	0.0100	0.9121
21	4	0.1144	0.1144	0.0000
22	5	0.1144	0.0100	0.9121
23	5	0.1144	0.1144	0.0000
24	10	0.1144	0.0100	0.9121
25	6	0.1144	0.1144	0.0000
26	5	0.1144	0.0100	0.9121
27	5	0.1144	0.1144	0.0000
28	8	0.1144	0.0100	0.9121
29	3	0.1144	0.1144	0.0000
30	3	0.1144	0.0100	0.9121
31	4	0.1144	0.1144	0.0000
32	5	0.1144	0.0100	0.9121
33	2	0.1144	0.1144	0.0000
34	4	0.1144	0.0100	0.9121
35	3	0.1144	0.1144	0.0000
36	3	0.1144	0.0100	0.9121
37	3	0.1144	0.1144	0.0000
38	4	0.1144	0.0100	0.9121
39	2	0.1144	0.1144	0.0000
40	3	0.1144	0.0100	0.9121
41	3	0.1144	0.1144	0.0000
42	4	0.1144	0.0100	0.9121
43	6	0.1144	0.1144	0.0000
44	10	0.1144	0.0100	0.9121
45	8	0.1144	0.1144	0.0000
46	8	0.1144	0.0100	0.9121
47	9	0.1144	0.1144	0.0000
48	6	0.1144	0.0100	0.9121
49	8	0.1144	0.1144	0.0000
50	6	0.1144	0.0100	0.9121
51	10	0.1144	0.1144	0.0000
52	9	0.1144	0.0100	0.9121
53	6	0.1144	0.1144	0.0000
54	4	0.1144	0.0100	0.9121
55	4	0.1144	0.1144	0.0000
56	5	0.1144	0.0100	0.9121
57	4	0.1144	0.1144	0.0000
58	5	0.1144	0.0100	0.9121
59	5	0.1144	0.1144	0.0000
60	6	0.1144	0.0100	0.9121
61	3	0.1144	0.1144	0.0000
62	6	0.1144	0.0100	0.9121
63	2	0.1144	0.1144	0.0000
64	4	0.1144	0.0100	0.9121
65	3	0.1144	0.1144	0.0000
66	3	0.1144	0.0100	0.9121
67	4	0.1144	0.1144	0.0000
68	3	0.1144	0.0100	0.9121
69	4	0.1144	0.1144	0.0000
70	3	0.1144	0.0100	0.9121
71	2	0.1144	0.1144	0.0000
72	3	0.1144	0.0100	0.9121
73	2	0.1144	0.1144	0.0000
74	4	0.1144	0.0100	0.9121
75	2	0.1144	0.1144	0.0000
76	3	0.1144	0.0100	0.9121
77	2	0.1144	0.1144	0.0000
78	2	0.1144	0.0100	0.9121
79	5	0.1144	0.1144	0.0000
80	2	0.1144	0.0100	0.9121
81	5	0.1144	0.1144	0.0000
82	5	0.1144	0.0100	0.9121
83	4	0.1144	0.1144	0.0000
84	4	0.1144	0.0100	0.9121
85	2	0.1144	0.1144	0.0000
86	4	0.1144	0.0100	0.9121
87	3	0.1144	0.1144	0.0000
88	3	0.1144	0.0100	0.9121
89	2	0.1144	0.1144	0.0000
90	4	0.1144	0.0100	0.9121
