YOUNG	RANDOM
ID	 Degree(i)	 Efficiency_Original	 Efficiency_Perturbed	 Centrality_LesionedNodes	
1	8	0.3678	0.3594	0.0230
2	7	0.3678	0.3593	0.0232
3	5	0.3678	0.3609	0.0190
4	5	0.3678	0.3603	0.0204
5	10	0.3678	0.3585	0.0253
6	8	0.3678	0.3601	0.0211
7	6	0.3678	0.3598	0.0220
8	9	0.3678	0.3583	0.0259
9	7	0.3678	0.3600	0.0213
10	9	0.3678	0.3588	0.0246
11	12	0.3678	0.3581	0.0264
12	12	0.3678	0.3583	0.0260
13	13	0.3678	0.3567	0.0303
14	17	0.3678	0.3569	0.0298
15	12	0.3678	0.3568	0.0301
16	12	0.3678	0.3581	0.0264
17	12	0.3678	0.3583	0.0259
18	12	0.3678	0.3577	0.0277
19	11	0.3678	0.3576	0.0280
20	15	0.3678	0.3553	0.0342
21	8	0.3678	0.3599	0.0215
22	7	0.3678	0.3608	0.0192
23	11	0.3678	0.3547	0.0357
24	5	0.3678	0.3607	0.0194
25	6	0.3678	0.3601	0.0210
26	11	0.3678	0.3581	0.0264
27	12	0.3678	0.3580	0.0267
28	11	0.3678	0.3591	0.0236
29	12	0.3678	0.3575	0.0282
30	14	0.3678	0.3570	0.0295
31	16	0.3678	0.3525	0.0418
32	14	0.3678	0.3562	0.0317
33	10	0.3678	0.3579	0.0270
34	12	0.3678	0.3576	0.0279
35	3	0.3678	0.3676	0.0007
36	3	0.3678	0.3676	0.0007
37	5	0.3678	0.3619	0.0160
38	4	0.3678	0.3621	0.0156
39	4	0.3678	0.3629	0.0134
40	6	0.3678	0.3614	0.0174
41	5	0.3678	0.3597	0.0221
42	6	0.3678	0.3572	0.0290
43	14	0.3678	0.3575	0.0282
44	11	0.3678	0.3584	0.0256
45	14	0.3678	0.3572	0.0289
46	18	0.3678	0.3551	0.0348
47	15	0.3678	0.3574	0.0283
48	16	0.3678	0.3569	0.0297
49	17	0.3678	0.3566	0.0306
50	16	0.3678	0.3546	0.0360
51	13	0.3678	0.3576	0.0279
52	13	0.3678	0.3577	0.0275
53	8	0.3678	0.3595	0.0228
54	8	0.3678	0.3589	0.0243
55	7	0.3678	0.3597	0.0222
56	9	0.3678	0.3583	0.0259
57	6	0.3678	0.3602	0.0208
58	7	0.3678	0.3593	0.0233
59	6	0.3678	0.3600	0.0212
60	5	0.3678	0.3605	0.0200
61	9	0.3678	0.3576	0.0278
62	9	0.3678	0.3586	0.0252
63	10	0.3678	0.3582	0.0263
64	10	0.3678	0.3580	0.0268
65	9	0.3678	0.3577	0.0275
66	6	0.3678	0.3601	0.0210
67	6	0.3678	0.3598	0.0218
68	9	0.3678	0.3560	0.0323
69	5	0.3678	0.3613	0.0178
70	5	0.3678	0.3605	0.0199
71	7	0.3678	0.3564	0.0312
72	3	0.3678	0.3630	0.0132
73	12	0.3678	0.3544	0.0366
74	15	0.3678	0.3507	0.0467
75	6	0.3678	0.3575	0.0282
76	6	0.3678	0.3598	0.0218
77	5	0.3678	0.3601	0.0212
78	6	0.3678	0.3610	0.0187
79	11	0.3678	0.3586	0.0252
80	10	0.3678	0.3589	0.0243
81	10	0.3678	0.3590	0.0241
82	9	0.3678	0.3594	0.0229
83	5	0.3678	0.3590	0.0240
84	8	0.3678	0.3583	0.0260
85	4	0.3678	0.3621	0.0156
86	3	0.3678	0.3628	0.0136
87	7	0.3678	0.3584	0.0256
88	6	0.3678	0.3602	0.0208
89	2	0.3678	0.3678	0.0000
90	5	0.3678	0.3565	0.0309
