YOUNG	TARGETED	REMOVED Target: 1 3 5 7 9 11 13 15 17 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 
ID	 Degree(i)	 Efficiency_Original	 Efficiency_Perturbed	 Centrality_LesionedNodes	
1	8	0.3678	0.0908	0.7532
2	7	0.3678	0.3678	0.0000
3	5	0.3678	0.0908	0.7532
4	5	0.3678	0.3678	0.0000
5	10	0.3678	0.0908	0.7532
6	8	0.3678	0.3678	0.0000
7	6	0.3678	0.0908	0.7532
8	9	0.3678	0.3678	0.0000
9	7	0.3678	0.0908	0.7532
10	9	0.3678	0.3678	0.0000
11	12	0.3678	0.0908	0.7532
12	12	0.3678	0.3678	0.0000
13	13	0.3678	0.0908	0.7532
14	17	0.3678	0.3678	0.0000
15	12	0.3678	0.0908	0.7532
16	12	0.3678	0.3678	0.0000
17	12	0.3678	0.0908	0.7532
18	12	0.3678	0.3678	0.0000
19	11	0.3678	0.3678	0.0000
20	15	0.3678	0.3678	0.0000
21	8	0.3678	0.0908	0.7532
22	7	0.3678	0.3678	0.0000
23	11	0.3678	0.0908	0.7532
24	5	0.3678	0.3678	0.0000
25	6	0.3678	0.0908	0.7532
26	11	0.3678	0.3678	0.0000
27	12	0.3678	0.0908	0.7532
28	11	0.3678	0.3678	0.0000
29	12	0.3678	0.0908	0.7532
30	14	0.3678	0.3678	0.0000
31	16	0.3678	0.0908	0.7532
32	14	0.3678	0.3678	0.0000
33	10	0.3678	0.0908	0.7532
34	12	0.3678	0.3678	0.0000
35	3	0.3678	0.0908	0.7532
36	3	0.3678	0.3678	0.0000
37	5	0.3678	0.0908	0.7532
38	4	0.3678	0.3678	0.0000
39	4	0.3678	0.0908	0.7532
40	6	0.3678	0.3678	0.0000
41	5	0.3678	0.0908	0.7532
42	6	0.3678	0.3678	0.0000
43	14	0.3678	0.0908	0.7532
44	11	0.3678	0.3678	0.0000
45	14	0.3678	0.0908	0.7532
46	18	0.3678	0.3678	0.0000
47	15	0.3678	0.0908	0.7532
48	16	0.3678	0.3678	0.0000
49	17	0.3678	0.0908	0.7532
50	16	0.3678	0.3678	0.0000
51	13	0.3678	0.0908	0.7532
52	13	0.3678	0.3678	0.0000
53	8	0.3678	0.0908	0.7532
54	8	0.3678	0.3678	0.0000
55	7	0.3678	0.0908	0.7532
56	9	0.3678	0.3678	0.0000
57	6	0.3678	0.0908	0.7532
58	7	0.3678	0.3678	0.0000
59	6	0.3678	0.0908	0.7532
60	5	0.3678	0.3678	0.0000
61	9	0.3678	0.0908	0.7532
62	9	0.3678	0.3678	0.0000
63	10	0.3678	0.0908	0.7532
64	10	0.3678	0.3678	0.0000
65	9	0.3678	0.0908	0.7532
66	6	0.3678	0.3678	0.0000
67	6	0.3678	0.0908	0.7532
68	9	0.3678	0.3678	0.0000
69	5	0.3678	0.0908	0.7532
70	5	0.3678	0.3678	0.0000
71	7	0.3678	0.0908	0.7532
72	3	0.3678	0.3678	0.0000
73	12	0.3678	0.0908	0.7532
74	15	0.3678	0.3678	0.0000
75	6	0.3678	0.0908	0.7532
76	6	0.3678	0.3678	0.0000
77	5	0.3678	0.0908	0.7532
78	6	0.3678	0.3678	0.0000
79	11	0.3678	0.0908	0.7532
80	10	0.3678	0.3678	0.0000
81	10	0.3678	0.0908	0.7532
82	9	0.3678	0.3678	0.0000
83	5	0.3678	0.0908	0.7532
84	8	0.3678	0.3678	0.0000
85	4	0.3678	0.0908	0.7532
86	3	0.3678	0.3678	0.0000
87	7	0.3678	0.0908	0.7532
88	6	0.3678	0.3678	0.0000
89	2	0.3678	0.0908	0.7532
90	5	0.3678	0.3678	0.0000
