YOUNG	TARGETED	REMOVED Target: 43 44 45 46 47 48 49 50 51 52 53 54 
ID	 Degree(i)	 Efficiency_Original	 Efficiency_Perturbed	 Centrality_LesionedNodes	
1	8	0.3678	0.3678	0.0000
2	7	0.3678	0.3678	0.0000
3	5	0.3678	0.3678	0.0000
4	5	0.3678	0.3678	0.0000
5	10	0.3678	0.3678	0.0000
6	8	0.3678	0.3678	0.0000
7	6	0.3678	0.3678	0.0000
8	9	0.3678	0.3678	0.0000
9	7	0.3678	0.3678	0.0000
10	9	0.3678	0.3678	0.0000
11	12	0.3678	0.3678	0.0000
12	12	0.3678	0.3678	0.0000
13	13	0.3678	0.3678	0.0000
14	17	0.3678	0.3678	0.0000
15	12	0.3678	0.3678	0.0000
16	12	0.3678	0.3678	0.0000
17	12	0.3678	0.3678	0.0000
18	12	0.3678	0.3678	0.0000
19	11	0.3678	0.3678	0.0000
20	15	0.3678	0.3678	0.0000
21	8	0.3678	0.3678	0.0000
22	7	0.3678	0.3678	0.0000
23	11	0.3678	0.3678	0.0000
24	5	0.3678	0.3678	0.0000
25	6	0.3678	0.3678	0.0000
26	11	0.3678	0.3678	0.0000
27	12	0.3678	0.3678	0.0000
28	11	0.3678	0.3678	0.0000
29	12	0.3678	0.3678	0.0000
30	14	0.3678	0.3678	0.0000
31	16	0.3678	0.3678	0.0000
32	14	0.3678	0.3678	0.0000
33	10	0.3678	0.3678	0.0000
34	12	0.3678	0.3678	0.0000
35	3	0.3678	0.3678	0.0000
36	3	0.3678	0.3678	0.0000
37	5	0.3678	0.3678	0.0000
38	4	0.3678	0.3678	0.0000
39	4	0.3678	0.3678	0.0000
40	6	0.3678	0.3678	0.0000
41	5	0.3678	0.3678	0.0000
42	6	0.3678	0.3678	0.0000
43	14	0.3678	0.2512	0.3171
44	11	0.3678	0.2512	0.3171
45	14	0.3678	0.2512	0.3171
46	18	0.3678	0.2512	0.3171
47	15	0.3678	0.2512	0.3171
48	16	0.3678	0.2512	0.3171
49	17	0.3678	0.2512	0.3171
50	16	0.3678	0.2512	0.3171
51	13	0.3678	0.2512	0.3171
52	13	0.3678	0.2512	0.3171
53	8	0.3678	0.2512	0.3171
54	8	0.3678	0.2512	0.3171
55	7	0.3678	0.3678	0.0000
56	9	0.3678	0.3678	0.0000
57	6	0.3678	0.3678	0.0000
58	7	0.3678	0.3678	0.0000
59	6	0.3678	0.3678	0.0000
60	5	0.3678	0.3678	0.0000
61	9	0.3678	0.3678	0.0000
62	9	0.3678	0.3678	0.0000
63	10	0.3678	0.3678	0.0000
64	10	0.3678	0.3678	0.0000
65	9	0.3678	0.3678	0.0000
66	6	0.3678	0.3678	0.0000
67	6	0.3678	0.3678	0.0000
68	9	0.3678	0.3678	0.0000
69	5	0.3678	0.3678	0.0000
70	5	0.3678	0.3678	0.0000
71	7	0.3678	0.3678	0.0000
72	3	0.3678	0.3678	0.0000
73	12	0.3678	0.3678	0.0000
74	15	0.3678	0.3678	0.0000
75	6	0.3678	0.3678	0.0000
76	6	0.3678	0.3678	0.0000
77	5	0.3678	0.3678	0.0000
78	6	0.3678	0.3678	0.0000
79	11	0.3678	0.3678	0.0000
80	10	0.3678	0.3678	0.0000
81	10	0.3678	0.3678	0.0000
82	9	0.3678	0.3678	0.0000
83	5	0.3678	0.3678	0.0000
84	8	0.3678	0.3678	0.0000
85	4	0.3678	0.3678	0.0000
86	3	0.3678	0.3678	0.0000
87	7	0.3678	0.3678	0.0000
88	6	0.3678	0.3678	0.0000
89	2	0.3678	0.3678	0.0000
90	5	0.3678	0.3678	0.0000
