YOUNG	TARGETED	REMOVED Target: 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80 82 84 86 88 90 
ID	 Degree(i)	 Efficiency_Original	 Efficiency_Perturbed	 Centrality_LesionedNodes	
1	8	0.3678	0.3678	0.0000
2	7	0.3678	0.0846	0.7701
3	5	0.3678	0.3678	0.0000
4	5	0.3678	0.0846	0.7701
5	10	0.3678	0.3678	0.0000
6	8	0.3678	0.0846	0.7701
7	6	0.3678	0.3678	0.0000
8	9	0.3678	0.0846	0.7701
9	7	0.3678	0.3678	0.0000
10	9	0.3678	0.0846	0.7701
11	12	0.3678	0.3678	0.0000
12	12	0.3678	0.0846	0.7701
13	13	0.3678	0.3678	0.0000
14	17	0.3678	0.0846	0.7701
15	12	0.3678	0.3678	0.0000
16	12	0.3678	0.0846	0.7701
17	12	0.3678	0.3678	0.0000
18	12	0.3678	0.0846	0.7701
19	11	0.3678	0.3678	0.0000
20	15	0.3678	0.0846	0.7701
21	8	0.3678	0.3678	0.0000
22	7	0.3678	0.0846	0.7701
23	11	0.3678	0.3678	0.0000
24	5	0.3678	0.0846	0.7701
25	6	0.3678	0.3678	0.0000
26	11	0.3678	0.0846	0.7701
27	12	0.3678	0.3678	0.0000
28	11	0.3678	0.0846	0.7701
29	12	0.3678	0.3678	0.0000
30	14	0.3678	0.0846	0.7701
31	16	0.3678	0.3678	0.0000
32	14	0.3678	0.0846	0.7701
33	10	0.3678	0.3678	0.0000
34	12	0.3678	0.0846	0.7701
35	3	0.3678	0.3678	0.0000
36	3	0.3678	0.0846	0.7701
37	5	0.3678	0.3678	0.0000
38	4	0.3678	0.0846	0.7701
39	4	0.3678	0.3678	0.0000
40	6	0.3678	0.0846	0.7701
41	5	0.3678	0.3678	0.0000
42	6	0.3678	0.0846	0.7701
43	14	0.3678	0.3678	0.0000
44	11	0.3678	0.0846	0.7701
45	14	0.3678	0.3678	0.0000
46	18	0.3678	0.0846	0.7701
47	15	0.3678	0.3678	0.0000
48	16	0.3678	0.0846	0.7701
49	17	0.3678	0.3678	0.0000
50	16	0.3678	0.0846	0.7701
51	13	0.3678	0.3678	0.0000
52	13	0.3678	0.0846	0.7701
53	8	0.3678	0.3678	0.0000
54	8	0.3678	0.0846	0.7701
55	7	0.3678	0.3678	0.0000
56	9	0.3678	0.0846	0.7701
57	6	0.3678	0.3678	0.0000
58	7	0.3678	0.0846	0.7701
59	6	0.3678	0.3678	0.0000
60	5	0.3678	0.0846	0.7701
61	9	0.3678	0.3678	0.0000
62	9	0.3678	0.0846	0.7701
63	10	0.3678	0.3678	0.0000
64	10	0.3678	0.0846	0.7701
65	9	0.3678	0.3678	0.0000
66	6	0.3678	0.0846	0.7701
67	6	0.3678	0.3678	0.0000
68	9	0.3678	0.0846	0.7701
69	5	0.3678	0.3678	0.0000
70	5	0.3678	0.0846	0.7701
71	7	0.3678	0.3678	0.0000
72	3	0.3678	0.0846	0.7701
73	12	0.3678	0.3678	0.0000
74	15	0.3678	0.0846	0.7701
75	6	0.3678	0.3678	0.0000
76	6	0.3678	0.0846	0.7701
77	5	0.3678	0.3678	0.0000
78	6	0.3678	0.0846	0.7701
79	11	0.3678	0.3678	0.0000
80	10	0.3678	0.0846	0.7701
81	10	0.3678	0.3678	0.0000
82	9	0.3678	0.0846	0.7701
83	5	0.3678	0.3678	0.0000
84	8	0.3678	0.0846	0.7701
85	4	0.3678	0.3678	0.0000
86	3	0.3678	0.0846	0.7701
87	7	0.3678	0.3678	0.0000
88	6	0.3678	0.0846	0.7701
89	2	0.3678	0.3678	0.0000
90	5	0.3678	0.0846	0.7701
