Msub1,AAL01TC,AAL02TC,AAL03TC,AAL04TC,AAL05TC,AAL06TC,AAL07TC,AAL08TC,AAL09TC,AAL10TC,AAL11TC,AAL12TC,AAL13TC,AAL14TC,AAL15TC,AAL16TC,AAL17TC,AAL18TC,AAL19TC,AAL20TC,AAL20TC,AAL22TC,AAL23TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.739484,0.542207,0.180301,0.01065,0.000589,-0.121834,0.575894,-0.483512,0.038745,0.020312,0.103623,-0.376168,0.337514,-0.220529,0.311893,0.161605,0.38827,-0.181644,1.030463,0.766816,0.49714,0.394633,-0.01401,-0.627829,-0.255736,-0.198262,-0.284175,0.037669,0.552993,-0.168212,0.150467,0.246114,0.599424,0.136196,0.109925,-0.186836,-0.065289,-0.083004,-0.010738,-0.272046,0.374498,0.071968,-0.564405,-0.543706,-0.562352,-0.138067,-1.042837,-0.784901,-0.736448,-0.96558,-0.344666,-0.617976,-0.723289,-0.495941,-0.377251,-0.204262,0.807759,0.619897,-0.351137,-0.995411,-0.190099,-0.895654,0.453594,-0.249583,-0.098623,-0.636863,0.030269,-0.057625,0.786818,1.168121,0.370356,-0.037482,0.672353,0.215625,0.553036,0.512025,0.393501,0.518429,0.872768,0.021197,0.690024,0.35023,-0.278053,0.526648,0.247823,0.397047,-0.366683,0.387883,-0.312638,0.507681
0.728903,0.757042,-0.056887,-0.491617,0.413063,0.071293,0.435444,-0.887693,0.42854,0.438532,0.408336,0.488766,0.183726,0.24977,0.943763,1.287222,0.709946,0.241777,1.001665,0.583582,0.878322,0.633167,-0.510074,-0.805161,0.131045,0.568311,0.179659,0.545797,0.876322,0.635406,0.961784,1.149953,0.89392,0.452009,0.115101,-0.548801,-0.30708,0.101729,-0.052628,-0.062944,0.706633,0.408007,-0.663701,-0.253946,-0.793087,-0.223896,-1.186881,-0.765191,-0.908612,-0.34353,-0.583747,-0.473995,-1.565393,-0.850243,-0.715537,-0.012758,1.032392,0.665399,0.625514,-0.065335,0.092719,-0.344687,0.427767,0.287504,0.201117,-0.128187,-0.311518,-0.317132,-0.27771,0.281497,0.268351,-0.031662,0.850184,0.880118,0.639204,1.126655,0.463003,0.896207,1.417903,0.918083,0.79039,0.989052,0.258013,2.33032,-0.136824,0.814114,0.466268,1.824077,-1.581065,0.584725
0.412356,0.03725,0.178742,-0.290681,0.011598,-0.202872,0.515824,-0.466987,0.08802,0.27632,0.524198,0.63821,0.230862,0.249229,0.551123,0.947724,0.963207,0.372256,0.671054,0.196143,0.443899,0.026925,-0.187203,-0.127466,-0.036285,0.488324,-0.330889,-0.221237,1.157973,0.907395,1.00428,1.265698,0.964271,0.479247,-0.055917,-0.441896,0.014563,-0.044142,0.179752,-0.032162,0.602653,0.097931,-0.461962,-0.474037,-0.430211,-0.666408,-0.644932,-0.749898,-0.581795,-0.399505,-0.319151,-0.499428,-1.242575,-1.146835,-0.398146,-0.243914,0.55776,-0.355714,0.106623,-0.848575,0.32048,-0.176813,0.626331,0.181224,0.128318,-0.154544,-0.80002,-0.584829,-0.919968,-1.319185,0.389069,-0.151269,0.729744,0.538864,0.502194,0.601593,0.592633,0.895901,1.252879,0.836201,0.809428,0.732254,0.364724,2.082009,-0.27697,0.18093,0.262862,1.071956,-1.118118,0.028775
0.248574,-0.502405,0.032089,-0.236993,-0.187631,-0.055866,0.17229,-0.17272,-0.39374,0.204929,0.399617,0.391794,0.121731,0.214079,-0.038617,0.437139,0.927046,0.499238,0.497744,0.160696,-0.072861,-0.273041,0.20504,0.336821,0.062462,0.547446,-0.395786,-0.423293,1.091722,0.841527,1.015321,1.106636,1.105621,0.777409,-0.384169,-0.172722,-0.129499,-0.14774,0.073921,-0.014819,0.11737,0.060157,0.210428,-0.16079,-0.165155,-0.581935,0.133163,-0.24795,-0.206547,-0.252567,-0.176265,-0.278687,-0.710558,-1.121586,0.060466,-0.134122,0.368762,-0.684454,-0.134736,-0.708319,0.280422,-0.231316,0.611916,0.231972,-0.021715,0.034686,-0.569507,-0.254499,-0.289326,-1.366033,0.089938,-0.274517,0.385849,0.114485,0.254702,0.24902,-0.01933,0.319843,0.914454,0.659258,0.629007,0.663878,0.368518,1.18586,-0.096492,0.037157,0.215845,0.646112,-0.688819,-0.468549
-0.070167,-0.893126,0.29279,-0.082575,0.16251,0.297822,0.527436,0.297077,-0.003362,0.677011,0.369699,0.192931,0.371742,0.379531,0.024245,0.349092,0.290844,-0.141869,0.18793,-0.103046,-0.228513,-0.10217,0.527747,0.251772,0.513682,0.866963,-0.15607,-0.079427,0.328162,0.150707,0.810997,0.672631,0.694474,0.792204,-0.049875,0.421637,-0.468234,-0.193783,-0.318511,-0.18538,-0.407482,0.253417,0.214778,-0.319326,0.091047,-0.128682,-0.275072,-0.237147,-0.240188,-0.254098,-0.035849,0.057069,-0.481232,-0.770644,0.15797,-0.02048,-0.004113,-0.739576,-0.336301,-0.532822,0.45392,0.210406,0.470759,0.502481,0.293411,0.432483,-0.222106,0.086585,-0.550987,-1.242027,-0.120336,-0.201704,0.021964,-0.020991,0.248469,0.405959,-0.352177,-0.109395,0.246049,0.070388,0.131473,0.395736,-0.163847,0.348314,0.179808,0.223088,-0.28725,0.016203,-0.240024,-0.171298
-0.272001,-0.757524,0.127713,-0.079476,0.598009,0.46874,0.503434,0.240307,0.480698,0.953102,0.14513,0.062139,0.16224,0.388562,0.392435,0.559972,-0.271781,-0.865367,-0.417699,-0.632902,0.002379,0.29,0.277025,-0.205796,1.060611,1.041806,0.449965,0.371943,-0.509136,-0.611025,0.26214,0.221578,0.142396,0.262187,0.293724,0.496704,-0.260086,-0.004201,-0.162816,-0.066916,-0.254347,0.471709,0.05255,-0.187253,0.113121,0.211701,-0.767645,-0.11054,-0.272177,-0.034015,0.016681,0.177716,-0.341023,-0.459744,-0.063645,-0.034959,-0.103696,-0.467512,0.153988,0.057524,0.367805,0.244121,-0.059498,0.207532,0.663358,0.470551,0.158163,0.422074,-1.249046,-0.559783,0.065014,0.154242,-0.219114,-0.050786,0.198473,0.421478,-0.066521,-0.1028,-0.130078,-0.414513,-0.489599,-0.122918,-0.557886,0.341339,0.135781,0.35191,0.065406,0.183836,-0.23058,0.334261
-0.373945,-0.48084,0.16216,-0.123022,0.301447,0.063453,0.27784,-0.162973,-0.012199,0.23544,-0.076728,0.081646,-0.075517,0.154453,0.137953,0.102988,-0.446688,-0.979814,-0.598467,-0.772602,0.216497,0.112119,0.23685,-0.190003,1.013794,0.661755,0.481344,0.295786,-0.712775,-0.774714,-0.203905,-0.116386,-0.040903,-0.338942,0.557318,0.323863,0.212678,0.331623,0.180519,0.180594,0.125056,0.410903,0.37283,0.1964,0.072301,0.063023,-0.499993,0.258482,-0.450154,-0.114288,0.117541,0.167279,0.042049,0.220732,0.031005,0.184111,-0.340767,-0.789224,-0.260105,-0.33041,-0.30019,-0.522106,-0.643596,-0.517998,0.537978,0.038457,0.304475,0.379944,-1.521253,-0.195087,0.254699,0.448412,-0.249444,-0.087392,0.090598,0.174231,0.382236,0.112794,-0.177293,-0.253961,-0.677196,-0.406911,-0.647128,-0.179682,0.220392,0.408557,0.151815,0.068434,-0.007086,0.49865
-0.095114,-0.04135,0.016257,-0.009594,0.078115,-0.19448,-0.045182,-0.163199,-0.405683,0.04041,-0.060335,0.210225,-0.020945,0.139601,0.049505,-0.290815,-0.058306,-0.450861,0.148361,0.174102,0.131376,-0.355598,0.014035,-0.005667,0.087781,-0.089339,0.034178,-0.130341,-0.149427,-0.502997,-0.451097,-0.205285,0.369604,-0.110264,0.712027,0.711187,0.633646,0.367984,0.449705,0.155616,0.170896,-0.241017,-0.516908,-0.362211,-0.844975,-1.016619,-0.311906,-0.127005,-0.831021,-0.658116,-0.264892,-0.417495,-0.167737,-0.266209,0.001476,-0.199023,-0.321468,-0.963969,-0.144319,-0.439375,-0.416289,-0.420272,-0.740793,-0.993428,0.516339,-0.082336,0.653925,0.492346,-0.02985,0.761419,0.273562,0.360714,0.059415,-0.159101,0.12469,-0.048126,0.832199,0.639807,0.167009,0.258286,-0.320347,-0.350542,-0.111706,-0.271061,0.073899,-0.020742,0.656651,0.069445,-0.084933,-0.109192
-0.070451,0.028091,0.069686,0.102052,0.138993,-0.107151,0.163759,0.064203,-0.246333,-0.03534,0.240938,0.29201,0.480332,0.216337,0.119884,-0.470621,0.248096,0.011502,0.649664,0.904225,0.073233,-0.500535,-0.079209,0.052856,-0.516193,-0.285024,-0.456139,-0.21573,0.432139,-0.06852,-0.352189,-0.134637,0.400887,0.45087,1.00643,1.529085,0.540865,0.175847,0.200327,-0.089484,-0.089883,-0.716239,-1.00075,-0.807957,-1.035243,-1.11121,-0.263464,-0.449244,-0.68898,-0.684552,-0.447967,-0.802202,-0.366709,-0.544052,0.085954,-0.46342,-0.271321,-0.767842,-0.393191,-0.952159,-0.232909,-0.252917,-0.343317,-0.508833,0.317062,-0.28284,0.588822,0.464014,1.045147,0.799099,-0.098524,0.025034,0.336933,-0.055329,0.175441,0.040703,0.558554,0.600603,0.159455,0.470272,0.071075,-0.092437,0.164607,-0.373257,0.006233,-0.37162,0.412483,-0.31651,-0.011201,-0.478658
0.020773,0.403465,-0.030385,0.128168,0.116444,-0.102379,0.161084,0.133518,-0.277036,-0.223337,0.161745,-0.000747,0.425312,0.040239,0.199858,-0.404212,0.185022,0.146485,0.613592,0.815703,-0.14808,-0.110172,-0.253459,0.001758,-0.455058,-0.339435,-0.52767,-0.236593,0.385209,0.112901,-0.415238,-0.483164,-0.006873,0.6008,1.28033,1.834827,0.280207,0.193195,0.021742,0.018865,0.014011,-0.044107,-0.987539,-0.88931,-0.530591,-0.66559,-0.351953,-0.787824,-0.306175,-0.577132,-0.438698,-0.872242,-0.458244,-0.610815,0.000458,-0.685715,0.03982,0.14427,-0.32203,-0.795752,0.000246,0.029951,0.00043,0.093407,0.555738,-0.105195,0.456333,0.308678,1.033418,0.126373,-0.507572,-0.193664,0.263031,0.146201,0.157675,0.231329,0.353209,0.546566,0.115578,0.257518,0.240557,-0.037448,0.145772,-0.4432,0.053063,-0.608707,0.098715,-0.588395,0.182287,-0.60754
