Brain region (BA),MNI coordinates,,,T-score,,,,CaS: Calcarine sulcus
,x,y,z,,,,,TP: Temporal pole
L FG(37),-30,-34,-16,7.57 ,,,,
R FG(37),30,-38,-14,6.70 ,,,,
L IPL(40),-30,-46,46,7.28 ,,,,
R SupraMarginal(40),56,-42,38,7.20 ,,,,
R MTG(37),52,-60,14,8.71 ,,,,
L SupraMarginal(22),-54,-50,26,12.12 ,,,,
R PCC(23),2,-46,32,14.17 ,,,,
R IPL(40),38,-50,54,7.68 ,,,,
L PCU(7),-2,-56,54,12.72 ,,,,
R PCU(23),2,-58,24,17.15 ,,,,
L CaS(30),-8,-54,8,14.19 ,,,,
L PCC(23),-2,-45,34,14.25 ,,,,
R MFG(9),26,32,46,7.03 ,,,,
R SFG(8),26,10,60,6.91 ,,,,
L STG(48),-52,-20,12,7.31 ,,,,
L MFG(9),-28,32,46,6.24 ,,,,
R ACC(32),2,46,22,6.01 ,,,,
R TP(38),36,12,-24,6.00 ,,,,
L (para)Hipp(20),-26,-18,-20,5.35 ,,,,
R MPFG(10),2,64,0,6.75 ,,,,
L MPFG(10),-4,58,4,5.88 ,,,,
