L CaS(30),L FG(37),R FG(37),L IPL(40),R SupraMarginal(40),R MTG(37),L SupraMarginal(22),R PCC(23),R IPL(40),L PCU(7),R PCU(23),L PCC(23),R MFG(9),R SFG(8),L STG(48),L MFG(9),R ACC(32),R TP(38),L (para)Hipp(20),R MPFG(10),L MPFG(10)
1093.05,1117.55,1134.34,1032.79,1028.18,1021.07,1047.14,1100.54,1157.26,1125.96,1059.47,1106.93,1040.01,1064.41,1053.97,991.29,1068.03,1128.67,1081.63,901.85,959.8
1094.55,1119.67,1133.88,1031.84,1029.29,1023.01,1047.87,1101.18,1157.32,1126.77,1057.98,1107.35,1041.99,1063.66,1054.3,991.56,1069.71,1130.12,1081.68,903.14,960.2
1094.62,1119.06,1134.84,1031.86,1026.86,1022.59,1047.51,1100.68,1156.24,1125.84,1059.32,1106.64,1040.52,1062.96,1053.97,992.34,1068.41,1130.66,1083.28,902.67,959.88
1094.57,1120.1,1133.95,1031.58,1028.44,1022.39,1047.88,1100.26,1156.85,1126.55,1057.96,1109.6,1040.81,1062.65,1054.76,992.06,1069.51,1131.92,1083.65,901.76,960.08
1096.48,1121.23,1136.36,1031.74,1027.53,1022.29,1048.31,1100.22,1157.15,1128.35,1058.97,1107.6,1042.1,1063.31,1053.07,993.77,1068.37,1127.67,1083.43,903.04,961.29
1095.79,1119.67,1135.6,1031.54,1026.51,1022,1048.26,1100.82,1156.29,1127.28,1058.92,1107.89,1042.14,1062.4,1052.72,993.44,1068.05,1132.22,1083.32,904.27,959.68
1097.07,1120.11,1134.91,1031.72,1027.17,1022.59,1049.13,1100.84,1157.56,1124.37,1060.58,1107.14,1041.95,1062.85,1055.48,992.52,1070.28,1131.58,1083.88,904.31,960.12
1097.26,1118.73,1136.75,1031.6,1027.59,1022.99,1048.55,1104.07,1158.7,1127.03,1063.13,1109.13,1041.87,1064.48,1054.17,991.57,1068.59,1133.32,1083.15,905.25,960.81
1097.04,1119.68,1135.64,1032.19,1028.03,1022.61,1048.33,1101.08,1158.6,1127.08,1059.73,1106.1,1041.45,1063.59,1054.2,993.5,1068.22,1129.96,1085.16,903.46,960.34
1094.71,1118.28,1134.17,1031.5,1027.91,1021.13,1047.12,1100.62,1158.37,1127.37,1058.97,1107.08,1040.51,1064,1054.94,991.21,1065.87,1130.35,1082.86,900.93,957.86
1093.48,1118.98,1135.52,1033.63,1029.34,1023.01,1047.67,1101.82,1159.69,1125.87,1059.83,1108.93,1040.28,1063.74,1055.98,991.25,1067.06,1132.24,1084.3,902.25,958.88
1095.01,1119.82,1136.37,1032.35,1028.54,1023.75,1047.9,1102.64,1160.25,1126.7,1060.75,1109.23,1041.17,1064.71,1055.79,992.6,1067.49,1131.91,1085.59,904.03,959.83
1093.02,1119.79,1135.02,1033.19,1028.97,1022.6,1049.3,1100.16,1160.42,1128.45,1059.59,1107.19,1041.33,1063.92,1055.9,992.71,1067.59,1130.41,1084.81,902.2,960
1094.52,1119.43,1136.13,1031.88,1028.94,1021.61,1048.78,1099.67,1159.88,1125.82,1058.77,1108.41,1039.13,1062.75,1054.14,991.52,1065.41,1130.94,1084.32,901,958.58
1092.88,1120.49,1134.82,1032.23,1026.83,1020.78,1046.58,1099.89,1158.34,1125.54,1058.63,1109.94,1039.29,1062.61,1052.93,992.45,1065.16,1130.48,1084.34,899.91,958.05
1093.63,1120.44,1133.54,1032.56,1027.91,1022.39,1047.83,1100.33,1158.8,1128.54,1058.86,1106.72,1039.97,1063.57,1053.58,992.47,1066.37,1130.92,1084.65,900.63,958.6
